title;abstract;group;label_list
Abnormal high density lipoproteins in cerebrotendinous xanthomatosis.;The plasma lipoprotein profiles and high density lipoproteins ( HDL ) were characterized in patients with the genetic disease cerebrotendinous xanthomatosis ( CTX ) . Abnormalities in the HDL may contribute to their increased atherogenesis and excessive deposits of tissue sterols in the presence of low or low-normal concentrations of plasma cholesterol ( 165 + / - 25 mg / dl ) and low density lipoproteins ( LDL ) . The mean HDL-cholesterol concentration in the CTX plasmas was 14 . 5 + / - 3 . 2 mg / dl , about one-third the normal value . The low HDL-cholesterol reflects a low concentration and an abnormal lipid composition of the plasma HDL . Relative to normal HDL , the cholesteryl esters are low , free cholesterol and phospholipids essentially normal , and triglycerides increased . The ratio of apoprotein ( apo ) to total cholesterol in the HDL of CTX was two to three times greater than normal . In the CTX HDL , the ratio of apoAI to apoAII was high , the proportion of apoC low , and a normally minor form of apoAI increased relative to other forms . The HDL in electron micrographs appeared normal morphologically and in particle size . The abnormalities in lipoprotein distribution profile and composition of the plasma HDL result from metabolic defects that are not understood but may be linked to the genetic defect in bile acid synthesis in CTX . As a consequence , it is probable that the normal functions of the HDL , possibly including modulation of LDL-cholesterol uptake and the removal of excess cholesterol from peripheral tissues , are perturbed significantly in this disease .;neurological;['neurological']
Founder mutations in the BRCA1 gene in Polish families with breast-ovarian cancer.;"We have undertaken a hospital-based study , to identify possible BRCA1 and BRCA2 founder mutations in the Polish population . The study group consisted of 66 Polish families with cancer who have at least three related females affected with breast or ovarian cancer and who had cancer diagnosed , in at least one of the three affected females , at age breast and ovarian cancers , 4 families had ovarian cancers only , and 36 families had breast cancers only . Genomic DNA was prepared from the peripheral blood leukocytes of at least one affected woman from each family . The entire coding region of BRCA1 and BRCA2 was screened for the presence of germline mutations , by use of SSCP followed by direct sequencing of observed variants . Mutations were found in 35 ( 53 % ) of the 66 families studied . All but one of the mutations were detected within the BRCA1 gene . BRCA1 abnormalities were identified in all four families with ovarian cancer only , in 67 % of 27 families with both breast and ovarian cancer , and in 34 % of 35 families with breast cancer only . The single family with a BRCA2 mutation had the breast-ovarian cancer syndrome . Seven distinct mutations were identified ; five of these occurred in two or more families . In total , recurrent mutations were found in 33 ( 94 % ) of the 35 families with detected mutations . Three BRCA1 abnormalities - 5382insC , C61G , and 4153delA - accounted for 51 % , 20 % , and 11 % of the identified mutations , respectively . .";oncological;['oncological']
Experimental cranial pain elicited by capsaicin: a PET study.;Using a positron emission tomography (PET) study it was shown recently that in migraine without aura certain areas in the brain stem were activated during the headache state, but not in the headache free interval. It was suggested that this brain stem activation is inherent to the migraine attack itself and represents the so called 'migraine generator'. To test this hypothesis we performed an experimental pain study in seven healthy volunteers, using the same positioning in the PET scanner as in the migraine patients. A small amount of capsaicin was administered subcutaneously in the right forehead to evoke a burning painful sensation in the first division of the trigeminal nerve. Increases of regional cerebral blood flow (rCBF) were found bilaterally in the insula, in the anterior cingulate cortex, the cavernous sinus and the cerebellum. Using the same stereotactic space limits as in the above mentioned migraine study no brain stem activation was found in the acute pain state compared to the pain free state. The increase of activation in the region of the cavernous sinus however, suggests that this structure is more likely to be involved in trigeminal transmitted pain as such, rather than in a specific type of headache as was suggested for cluster headache.;neurological;['neurological']
Somatic von Hippel-Lindau mutation in clear cell papillary cystadenoma of the epididymis.;Papillary cystadenoma of the epididymis is an uncommon benign lesion that may occur sporadically or as a manifestation of von Hippel-Lindau ( VHL ) disease . Neither immunohistochemical studies nor molecular genetic analyses of the VHL gene have been reported previously for this lesion . The authors describe two cases of clear cell papillary cystadenoma of the epididymis , both of which were initially confused with metastatic renal cell carcinoma . Both lesions showed positive immunohistochemical staining for low and intermediate molecular weight keratins ( Cam 5 . 2 and AE1 / AE3 ) , EMA , vimentin , alpha 1-antitrypsin , and alpha 1-antichymotrypsin . Each was negative for CEA . Because clear cell papillary cystadenoma is similar to renal cell carcinoma histologically , and because both occur as components of the von Hippel-Lindau disease complex , the authors analyzed both cases for the presence of mutations in the VHL gene . A somatic VHL gene mutation was detected in one of the two tumors by polymerase chain reaction followed by single-strand conformation polymorphism analysis . Direct sequencing revealed a cytosine to thymine transition at nucleotide 694 , resulting in the replacement of an arginine with a stop codon after the sixth amino acid of exon 3 . As the VHL gene is believed to function as a tumor suppressor gene , VHL gene mutations may play a role in the initiation of tumorigenesis in sporadic cystadenomas of the epididymis .;hepatorenal|oncological;['hepatorenal', 'oncological']
peripheral neuropathy pathways in cancer;Purpose: This retrospective study examined beta-blockers for hypertension in diabetic patients. The investigation included analysis of neuron, regurgitation, and reticular formation. Methods: 275 participants were included. Results: improved patient outcomes. Implications: treatment optimization.;neurological|cardiovascular;['neurological', 'cardiovascular']
Familial deficiency of the seventh component of complement associated with recurrent bacteremic infections due to Neisseria .;The serum of a 29-year old woman with a recent episode of disseminated gonococcal infection and a history of meningococcal meningitis and arthritis as a child was found to lack serum hemolytic complement activity . The seventh component of complement ( C7 ) was not detected by functional or immunochemical assays , whereas other components were normal by hemolytic and immunochemical assessment . Her fresh serum lacked complement-mediated bactericidal activity against Neisseria gonorrhoeae , but the addition of fresh normal serum or purified C7 restored bactericidal activity as well as hemolytic activity . The absence of functional C7 activity could not be accounted for on the basis of an inhibitor . Opsonization and generation of chemotactic activity functioned normally . Complete absence of C7 was also found in one sibling who had the clinical syndrome of meningococcal meningitis and arthritis  as a child and in this siblings clinically well eight-year-old son . HLA histocompatibility typing of the family members did not demonstrate evidence for genetic linkage of C7 deficiency with the major histocompatibility loci . This report represents the first cases of C7 deficiency associated with infectious complications and suggests that bactericidal activity may be important in host defense against bacteremic neisseria infections .;neurological|cardiovascular;['neurological', 'cardiovascular']
Increased coronary heart disease in Japanese-American men with mutation in the cholesteryl ester transfer protein gene despite increased HDL levels.;"Plasma high density lipoprotein ( HDL ) levels are strongly genetically determined and show a general inverse relationship with coronary heart disease ( CHD ) . The cholesteryl ester transfer protein ( CETP ) mediates the transfer of cholesteryl esters from HDL to other lipoproteins and is a key participant in the reverse transport of cholesterol from the periphery to the liver . A high prevalence of two different CETP gene mutations ( D442G , 5 . 1 % ; intron 14G  A , 0 . 5 % ) , was found in 3 , 469 men of Japanese ancestry in the Honolulu Heart Program and mutations were associated with decreased CETP ( -35 % ) and increased HDL chol levels ( + 10 % for D442G ) . However , the overall prevalence of definite CHD was 21 % in men with mutations and 16 % in men without mutations . The relative risk ( RR ) of CHD was 1 . 43 in men with mutations ( P CHD risk factors , the RR was 1 . 55 ( P = . 02 ) ; after additional adjustment for HDL levels , the RR was 1 . 68 ( P = . 008 ) . Similar RR values were obtained for the D442G mutation alone . Increased CHD in men with mutations was primarily observed for HDL chol 41-60 mg / dl ; for HDL chol > 60 mg / dl men with and without mutations had low CHD prevalence . Thus , genetic CETP deficiency appears to be an independent risk factor for CHD , primarily due to increased CHD prevalence in men with the D442G mutation and HDL cholesterol between 41 and 60 mg / dl . The findings suggest that both HDL concentration and the dynamics of cholesterol transport through HDL ( i . e. , reverse cholesterol transport ) determine the anti-atherogenicity of the HDL fraction .";cardiovascular|hepatorenal;['cardiovascular', 'hepatorenal']
Possible intramuscular midazolam-associated cardiorespiratory arrest and death.;Midazolam hydrochloride is commonly used for dental or endoscopic procedures. Although generally consisted safe when given intramuscularly, intravenous administration is known to cause respiratory and cardiovascular depression. This report describes the first published case of cardiorespiratory arrest and death associated with intramuscular administration of midazolam. Information regarding midazolam use is reviewed to provide recommendation for safe administration.;cardiovascular;['cardiovascular']
Incidence of heparin-induced thrombocytopenia type II and postoperative recovery of platelet count in liver graft recipients: a retrospective cohort analysis.;BACKGROUND: Thrombocytopenia in patients with end-stage liver disease is a common disorder caused mainly by portal hypertension, low levels of thrombopoetin, and endotoxemia. The impact of immune-mediated heparin-induced thrombocytopenia type II (HIT type II) as a cause of thrombocytopenia after liver transplantation is not yet understood, with few literature citations reporting contradictory results. The aim of our study was to demonstrate the perioperative course of thrombocytopenia after liver transplantation and determine the occurrence of clinical HIT type II. METHOD: We retrospectively evaluated the medical records of 205 consecutive adult patients who underwent full-size liver transplantation between January 2006 and December 2010 due to end-stage or malignant liver disease. Preoperative platelet count, postoperative course of platelets, and clinical signs of HIT type II were analyzed. RESULTS: A total of 155 (75.6%) of 205 patients had thrombocytopenia before transplantation, significantly influenced by Model of End-Stage Liver Disease score and liver cirrhosis. The platelet count exceeded 100,000/uL in most of the patients (n = 193) at a medium of 7 d. Regarding HIT II, there were four (1.95%) patients with a background of HIT type II. CONCLUSIONS: The incidence of HIT in patients with end-stage hepatic failure is, with about 1.95%, rare. For further reduction of HIT type II, the use of intravenous heparin should be avoided and the prophylactic anticoagulation should be performed with low-molecular-weight heparin after normalization of platelet count.;cardiovascular|hepatorenal;['cardiovascular', 'hepatorenal']
Myocardial infarction in pregnancy associated with clomiphene citrate for ovulation induction: a case report.;BACKGROUND: Clomiphene citrate (CC) is commonly prescribed for ovulation induction. It is considered safe, with minimal side effects. Thromboembolism is a rare but life-threatening complication that has been reported after ovulation induction with CC. Spontaneous coronary thrombosis or thromboembolism with subsequent clot lysis has been suggested as one of the most common causes of myocardial infarction (MI) during pregnancy, with a subsequently normal coronary angiogram. CASE: A 33-year-old woman with a 5-week gestation had recently received CC for ovulation induction and presented with chest pain. An electrocardiogram showed a lateral and anterior wall myocardial infarction. Cardiac enzymes showed a peak rise in troponin I to 9.10 ng/mL. An initial exercise stress test was normal. At the time of admission, the patient was at high risk of radiation injury to the fetus, so a coronary angiogram was postponed until the second trimester. It showed normal coronary vessels. CONCLUSION: This appears to be the first reported case documenting a possible association between CC and myocardial infarction. Thrombosis might be a rare but hazardous complication of CC. Given this life-threatening complication, appropriate prophylactic measures should be used in high-risk woman undergoing ovarian stimulation.;cardiovascular;['cardiovascular']
immunotherapy and chronic kidney disease: brain insights;Hypothesis: metformin improves diabetes outcomes via dopamine pathways. Methods: longitudinal trial with 87 cancer patients, measuring glioma and brain. Results: improved disease management. Conclusion: treatment optimization.;neurological;['neurological']
stroke markers in valvular heart disease;Aim: To investigate ACE inhibitors effects on cancer through congestive heart failure analysis. Methods: 466 adult population underwent prospective evaluation with atrial flutter and embolism assessment. Results: significant improvement in primary endpoints. Conclusion: healthcare advancement.;cardiovascular;['cardiovascular']
The glioma connection in leukemia;Background: dementia affects cancer patients worldwide, particularly involving cerebral infarction and astrocytoma. Methods: We conducted a retrospective study to evaluate aspirin in 106 patients, examining medulloblastoma parameters. Results: decreased mortality rates. Conclusion: treatment optimization.;neurological;['neurological']
